UTC,Latitude,Longitude,Parameter,RawConcentration,Unit,AQI,Category,Location
2025-05-19T00:00,42.2806,-91.5269,OZONE,38.0,PPB,37,1,"506, Linn Street, Coggon, Linn County, Iowa, 52218, United States"
2025-05-19T00:00,41.658195,-91.503471,PM2.5,3.9,UG/M3,19,1,"Iowa City High School, Heather Court, Iowa City, Johnson County, Iowa, 52245, United States"
2025-05-19T00:00,39.9175,-91.3358,OZONE,43.0,PPB,40,1,"John Wood Community College, 1301, South 48th Street, Quincy, Adams County, Illinois, 62305, United States"
2025-05-19T00:00,41.4014,-91.0684,PM2.5,5.0,UG/M3,24,1,"Garfield School, Schley Avenue, Muscatine, Muscatine County, Iowa, 52761, United States"
2025-05-19T00:00,39.045857,-90.849189,OZONE,47.0,PPB,41,1,"Winfield-Foley Fire Protection District Station 4, 2100, MO Y, Foley, Lincoln County, Missouri, 63347, United States"
2025-05-19T00:00,38.4902,-90.7052,OZONE,37.0,PPB,37,1,"Missouri Eastern Correctional Center, 18701, I 44 Bus;HR 66, Pacific, Saint Louis County, Missouri, 63069, United States"
2025-05-19T00:00,41.529999,-90.587502,OZONE,42.0,PPB,40,1,"Jefferson Elementary School, 1027, West 12th Street, Historic Washington Street, Davenport, Scott County, Iowa, 52804, United States"
2025-05-19T00:00,41.529999,-90.587502,PM2.5,4.4,UG/M3,21,1,"Jefferson Elementary School, 1027, West 12th Street, Historic Washington Street, Davenport, Scott County, Iowa, 52804, United States"
2025-05-19T00:00,41.529999,-90.587502,NO2,2.9,PPB,2,1,"Jefferson Elementary School, 1027, West 12th Street, Historic Washington Street, Davenport, Scott County, Iowa, 52804, United States"
2025-05-19T00:00,41.6992,-90.521896,OZONE,43.0,PPB,39,1,"270th Street, Park View, Scott County, Iowa, 52748, United States"
2025-05-19T00:00,41.5144,-90.5172,OZONE,39.0,PPB,36,1,"Dyke Drive, Rock Island County, Illinois, 61299, United States"
2025-05-19T00:00,41.5144,-90.5172,PM2.5,3.9,UG/M3,21,1,"Dyke Drive, Rock Island County, Illinois, 61299, United States"
2025-05-19T00:00,38.7109,-90.4759,OZONE,45.0,PPB,47,1,"Maryland Heights, Saint Louis County, Missouri, 63043, United States"
2025-05-19T00:00,38.8994,-90.44917,OZONE,54.0,PPB,47,1,"Orchard Farm School District, MO V, Saint Charles County, Missouri, United States"
2025-05-19T00:00,38.75264,-90.44884,NO2,12.6,PPB,11,1,"3099, Rider Trail South, Bridgeton, Saint Louis County, Missouri, 63044, United States"
2025-05-19T00:00,37.90084,-90.42388,OZONE,33.0,PPB,31,1,"Smith Road, Ste. Genevieve County, Missouri, United States"
2025-05-19T00:00,38.448581,-90.398436,OZONE,43.0,PPB,40,1,"Twin Oaks Drive, Lakewood Acres, Arnold, Arnold Township, Jefferson County, Missouri, 63010, United States"
2025-05-19T00:00,38.448581,-90.398436,PM2.5,8.0,UG/M3,38,1,"Twin Oaks Drive, Lakewood Acres, Arnold, Arnold Township, Jefferson County, Missouri, 63010, United States"
2025-05-19T00:00,38.448581,-90.398436,NO2,5.0,PPB,5,1,"Twin Oaks Drive, Lakewood Acres, Arnold, Arnold Township, Jefferson County, Missouri, 63010, United States"
2025-05-19T00:00,39.101439,-90.344494,OZONE,47.0,PPB,44,1,"22014, Maple Summit Road, Jerseyville, Jersey County, Illinois, 62052, United States"
2025-05-19T00:00,39.101439,-90.344494,PM2.5,2.0,UG/M3,11,1,"22014, Maple Summit Road, Jerseyville, Jersey County, Illinois, 62052, United States"
2025-05-19T00:00,38.631057,-90.281144,PM2.5,4.7,UG/M3,36,1,"Wheels Path, Saint Louis, Missouri, 63110, United States"
2025-05-19T00:00,38.631057,-90.281144,NO2,6.2,PPB,6,1,"Wheels Path, Saint Louis, Missouri, 63110, United States"
2025-05-19T00:00,38.5425,-90.263611,PM2.5,1.1,UG/M3,16,1,"101, Hurck Street, Patch, Saint Louis, Missouri, 63111, United States"
2025-05-19T00:00,38.8725,-90.226389,OZONE,48.0,PPB,45,1,"14033, MO 94, West Alton, Saint Charles County, Missouri, 63386, United States"
2025-05-19T00:00,38.8725,-90.226389,NO2,3.0,PPB,3,1,"14033, MO 94, West Alton, Saint Charles County, Missouri, 63386, United States"
2025-05-19T00:00,41.823101,-90.211899,PM2.5,3.3,UG/M3,18,1,"El Tapatio, 2300, Camanche Avenue, Clinton, Clinton County, Iowa, 52732, United States"
2025-05-19T00:00,38.656449,-90.198548,OZONE,43.0,PPB,38,1,"1688, Buchanan Street, Hyde Park, Saint Louis, Missouri, 63107, United States"
2025-05-19T00:00,38.656449,-90.198548,NO2,8.4,PPB,8,1,"1688, Buchanan Street, Hyde Park, Saint Louis, Missouri, 63107, United States"
2025-05-19T00:00,38.656449,-90.198548,PM2.5,0.0,UG/M3,0,1,"1688, Buchanan Street, Hyde Park, Saint Louis, Missouri, 63107, United States"
2025-05-19T00:00,38.65643,-90.18977,PM2.5,6.7,UG/M3,32,1,"115, Branch Street, Near North Riverfront, Saint Louis, Missouri, 63147, United States"
2025-05-19T00:00,41.875,-90.177498,OZONE,39.0,PPB,36,1,"2601, Roosevelt Street, Clinton, Clinton County, Iowa, 52732, United States"
2025-05-19T00:00,38.611893,-90.160614,OZONE,39.0,PPB,37,1,"781, South 13th Street, East St. Louis, Saint Clair County, Illinois, 62201, United States"
2025-05-19T00:00,38.611893,-90.160614,PM2.5,4.7,UG/M3,24,1,"781, South 13th Street, East St. Louis, Saint Clair County, Illinois, 62201, United States"
2025-05-19T00:00,38.901316,-90.146211,OZONE,46.0,PPB,42,1,"Horace Mann Elementary School, Edwards Street, Milton, Alton, Madison County, Illinois, 62002, United States"
2025-05-19T00:00,38.901316,-90.146211,PM2.5,4.0,UG/M3,21,1,"Horace Mann Elementary School, Edwards Street, Milton, Alton, Madison County, Illinois, 62002, United States"
2025-05-19T00:00,38.70063,-90.14476,PM2.5,4.9,UG/M3,24,1,"Gateway Regional Medical Center, 2100, Madison Avenue, Granite City, Madison County, Illinois, 62040, United States"
2025-05-19T00:00,38.8606,-90.1058,OZONE,48.0,PPB,44,1,"58, North Walcott Street, Wood River, Madison County, Illinois, 62095, United States"
2025-05-19T00:00,38.8606,-90.1058,PM2.5,4.0,UG/M3,21,1,"58, North Walcott Street, Wood River, Madison County, Illinois, 62095, United States"
2025-05-19T00:00,42.2869,-89.9997,OZONE,36.0,PPB,33,1,"East Parker Road, Pleasant Valley Township, Jo Daviess County, Illinois, 61085, United States"
2025-05-19T00:00,38.730263,-89.950053,OZONE,42.0,PPB,38,1,"Schiber Court, Chinatown, Maryville, Madison County, Illinois, 62062, United States"
2025-05-19T00:00,39.3961,-89.8094,OZONE,43.0,PPB,41,1,"42, Heaton Street, Nilwood, Macoupin County, Illinois, 62672, United States"
2025-05-19T00:00,38.1761,-89.7883,OZONE,35.0,PPB,33,1,"10098, Hickory Grove Road, Randolph County, Illinois, 62217, United States"
2025-05-19T00:00,38.1761,-89.7883,PM2.5,4.5,UG/M3,21,1,"10098, Hickory Grove Road, Randolph County, Illinois, 62217, United States"
2025-05-19T00:00,37.70264,-89.69864,OZONE,31.0,PPB,31,1,"610, Perry County Road 328, Farrar, Perry County, Missouri, 63775, United States"
2025-05-19T00:00,39.831921,-89.644164,PM2.5,3.6,UG/M3,17,1,"Illinois State Fairgrounds, 801, East Sangamon Avenue, Springfield, Sangamon County, Illinois, 62794, United States"
2025-05-19T00:00,39.831524,-89.640923,OZONE,47.0,PPB,42,1,"Illinois State Fairgrounds, 801, East Sangamon Avenue, Springfield, Sangamon County, Illinois, 62794, United States"
2025-05-19T00:00,40.6869,-89.6072,OZONE,39.0,PPB,34,1,"South MacArthur Highway, Southtown, Peoria, Peoria County, Illinois, 61606, United States"
2025-05-19T00:00,40.6978,-89.5889,PM2.5,4.0,UG/M3,20,1,"415, Northeast Monroe Street, North Valley, Peoria, Peoria County, Illinois, 61603, United States"
2025-05-19T00:00,40.745,-89.5861,OZONE,39.0,PPB,36,1,"Peoria Heights public schools, East Lyndale Road, Knoll Crest, Peoria, Peoria County, Illinois, 61614, United States"
2025-05-19T00:00,42.267002,-89.08917,PM2.5,3.4,UG/M3,19,1,"Rockford Fire Department Headquarters, Walnut Street, Downtown Rockford, Rockford, Rockford Township, Winnebago County, Illinois, 61102, United States"
2025-05-19T00:00,42.51831,-89.06347,OZONE,35.0,PPB,31,1,"Converse Elementary School, Ritsher Street, Beloit, Rock County, Wisconsin, 53511, United States"
2025-05-19T00:00,42.335,-89.0381,OZONE,34.0,PPB,31,1,"Maple Elementary School, Maple Avenue, Loves Park, Machesney Park, Harlem Township, Winnebago County, Illinois, 61111, United States"
